Book,Book Number,Chapters Overall,Chapters in Book,Chapter Key,Chapter Title,Page Start,Page End
Harry Potter and the Prisoner of Azkaban,3,42,7,3.07,The Boggart in the Wardrobe,136,155
Harry Potter and the Prisoner of Azkaban,3,43,8,3.08,Flight of the Fat Lady,156,179
Harry Potter and the Prisoner of Azkaban,3,44,9,3.09,Grim Defeat,180,203
Harry Potter and the Prisoner of Azkaban,3,45,10,3.1,The Marauder's Map,204,233
Harry Potter and the Prisoner of Azkaban,3,46,11,3.11,The Firebolt,234,258
Harry Potter and the Prisoner of Azkaban,3,47,12,3.12,The Patronus,259,280
Harry Potter and the Prisoner of Azkaban,3,48,13,3.13,Gryffindor versus Ravenclaw,281,299
Harry Potter and the Prisoner of Azkaban,3,49,14,3.14,Snape's Grudge,300,324
Harry Potter and the Prisoner of Azkaban,3,50,15,3.15,The Quidditch Final,325,349
Harry Potter and the Prisoner of Azkaban,3,51,16,3.16,Professor Trelawney's Prediction,350,369
Harry Potter and the Prisoner of Azkaban,3,52,17,3.17,"Cat, Rat, and Dog",370,389
Harry Potter and the Prisoner of Azkaban,3,53,18,3.18,"Moony, Wormtail, Padfoot, and Prongs",390,399
Harry Potter and the Prisoner of Azkaban,3,54,19,3.19,The Servant of the Dark Lord,400,421
Harry Potter and the Prisoner of Azkaban,3,55,20,3.2,The Dementor’s Kiss,422,430
Harry Potter and the Prisoner of Azkaban,3,56,21,3.21,Hermione’s Secret,431,465
Harry Potter and the Prisoner of Azkaban,3,57,22,3.22,Owl Post Again,466,487
Harry Potter and the Goblet of Fire,4,58,1,4.01,The Riddle House,1,17
Harry Potter and the Goblet of Fire,4,59,2,4.02,The Scar,18,28
Harry Potter and the Goblet of Fire,4,60,3,4.03,The Invitation,29,41
Harry Potter and the Goblet of Fire,4,61,4,4.04,Back to the Burrow,42,55
Harry Potter and the Goblet of Fire,4,62,5,4.05,Weasley’s Wizard Wheezes,56,71
Harry Potter and the Goblet of Fire,4,63,6,4.06,The Portkey,72,82
Harry Potter and the Goblet of Fire,4,64,7,4.07,Bagman and Crouch,83,104
Harry Potter and the Goblet of Fire,4,65,8,4.08,The Quidditch World Cup,105,128
Harry Potter and the Goblet of Fire,4,66,9,4.09,The Dark Mark,129,159
Harry Potter and the Goblet of Fire,4,67,10,4.1,Mayhem at the Ministry,160,174
Harry Potter and the Goblet of Fire,4,68,11,4.11,Aboard the Hogwarts Express,175,189
Harry Potter and the Goblet of Fire,4,69,12,4.12,The Triwizard Tournament,190,212
Harry Potter and the Goblet of Fire,4,70,13,4.13,Mad-Eye Moody,213,231
Harry Potter and the Goblet of Fire,4,71,14,4.14,The Unforgivable Curses,232,252
Harry Potter and the Goblet of Fire,4,72,15,4.15,Beauxbatons and Durmstrang,253,274
Harry Potter and the Goblet of Fire,4,73,16,4.16,The Goblet of Fire,275,300
Harry Potter and the Goblet of Fire,4,74,17,4.17,The Four Champions,301,318
Harry Potter and the Goblet of Fire,4,75,18,4.18,The Weighing of the Wands,319,346
Harry Potter and the Goblet of Fire,4,76,19,4.19,The Hungarian Horntail,347,371
Harry Potter and the Goblet of Fire,4,77,20,4.2,The First Task,372,400
Harry Potter and the Goblet of Fire,4,78,21,4.21,The House-Elf Liberation Front,401,424
Harry Potter and the Goblet of Fire,4,79,22,4.22,The Unexpected Task,425,444
Harry Potter and the Goblet of Fire,4,80,23,4.23,The Yule Ball,445,478
Harry Potter and the Goblet of Fire,4,81,24,4.24,Rita Skeeter’s Scoop,479,505
Harry Potter and the Goblet of Fire,4,82,25,4.25,The Egg and the Eye,506,529
Harry Potter and the Goblet of Fire,4,83,26,4.26,The Second Task,530,561
Harry Potter and the Goblet of Fire,4,84,27,4.27,Padfoot Returns,562,590
Harry Potter and the Goblet of Fire,4,85,28,4.28,The Madness of Mr Crouch,591,623
Harry Potter and the Goblet of Fire,4,86,29,4.29,The Dream,624,642
Harry Potter and the Goblet of Fire,4,87,30,4.3,The Pensieve,643,669
Harry Potter and the Goblet of Fire,4,88,31,4.31,The Third Task,670,702
Harry Potter and the Goblet of Fire,4,89,32,4.32,"Flesh, Blood, and Bone",703,711
Harry Potter and the Goblet of Fire,4,90,33,4.33,The Death Eaters,712,727
Harry Potter and the Goblet of Fire,4,91,34,4.34,Priori Incantatem,728,739
Harry Potter and the Goblet of Fire,4,92,35,4.35,Veritaserum,740,763
Harry Potter and the Goblet of Fire,4,93,36,4.36,The Parting of the Ways,764,789
Harry Potter and the Goblet of Fire,4,94,37,4.37,The Beginning,790,811
Harry Potter and the Order of the Phoenix,5,95,1,5.01,Dudley Demented,1,25
Harry Potter and the Order of the Phoenix,5,96,2,5.02,A Peck of Owls,26,53
Harry Potter and the Order of the Phoenix,5,97,3,5.03,The Advance Guard,54,76
Harry Potter and the Order of the Phoenix,5,98,4,5.04,"Number Twelve, Grimmauld Place",77,102
Harry Potter and the Order of the Phoenix,5,99,5,5.05,The Order of the Phoenix,103,126
Harry Potter and the Order of the Phoenix,5,100,6,5.06,The Noble and Most Ancient House of Black,127,155
Harry Potter and the Order of the Phoenix,5,101,7,5.07,The Ministry of Magic,156,175
Harry Potter and the Order of the Phoenix,5,102,8,5.08,The Hearing,176,194
Harry Potter and the Order of the Phoenix,5,103,9,5.09,The Woes of Mrs Weasley,195,229
Harry Potter and the Order of the Phoenix,5,104,10,5.1,Luna Lovegood,230,255
Harry Potter and the Order of the Phoenix,5,105,11,5.11,The Sorting Hat's New Song,256,280
Harry Potter and the Order of the Phoenix,5,106,12,5.12,Professor Umbridge,281,318
Harry Potter and the Order of the Phoenix,5,107,13,5.13,Detention with Dolores,319,355
Harry Potter and the Order of the Phoenix,5,108,14,5.14,Percy and Padfoot,356,390
Harry Potter and the Order of the Phoenix,5,109,15,5.15,The Hogwarts High Inquisitor,391,421
Harry Potter and the Order of the Phoenix,5,110,16,5.16,In the Hog's Head,422,447
Harry Potter and the Order of the Phoenix,5,111,17,5.17,Educational Decree Number Twenty-four,448,477
Harry Potter and the Order of the Phoenix,5,112,18,5.18,Dumbledore's Army,478,508
Harry Potter and the Order of the Phoenix,5,113,19,5.19,The Lion and the Serpent,509,536
Harry Potter and the Order of the Phoenix,5,114,20,5.2,Hagrid’s Tale,537,563
Harry Potter and the Order of the Phoenix,5,115,21,5.21,The Eye of the Snake,564,594
Harry Potter and the Order of the Phoenix,5,116,22,5.22,St Mungo's Hospital for Magical Maladies and Injuries,595,627
Harry Potter and the Order of the Phoenix,5,117,23,5.23,Christmas on the Closed Ward,628,658
Harry Potter and the Order of the Phoenix,5,118,24,5.24,Occlumency,659,693
Harry Potter and the Order of the Phoenix,5,119,25,5.25,The Beetle at Bay,694,726
Harry Potter and the Order of the Phoenix,5,120,26,5.26,Seen and Unforeseen,727,762
Harry Potter and the Order of the Phoenix,5,121,27,5.27,The Centaur and the Sneak,763,795
Harry Potter and the Order of the Phoenix,5,122,28,5.28,Snape’s Worst Memory,796,830
Harry Potter and the Order of the Phoenix,5,123,29,5.29,Career Advice,831,863
Harry Potter and the Order of the Phoenix,5,124,30,5.3,Grawp,864,897
Harry Potter and the Order of the Phoenix,5,125,31,5.31,O.W.L.S,898,929
Harry Potter and the Order of the Phoenix,5,126,32,5.32,Out of the Fire,930,957
Harry Potter and the Order of the Phoenix,5,127,33,5.33,Fight and Flight,958,974
Harry Potter and the Order of the Phoenix,5,128,34,5.34,The Department of Mysteries,975,996
Harry Potter and the Order of the Phoenix,5,129,35,5.35,Beyond the Veil,997,1029
Harry Potter and the Order of the Phoenix,5,130,36,5.36,The Only One He Ever Feared,1030,1045
Harry Potter and the Order of the Phoenix,5,131,37,5.37,The Lost Prophecy,1046,1076
Harry Potter and the Order of the Phoenix,5,132,38,5.38,The Second War Begins,1077,1108
Harry Potter and the Half-Blood Prince,6,133,1,6.01,The Other Minister,1,21
Harry Potter and the Half-Blood Prince,6,134,2,6.02,Spinner’s End,22,42
Harry Potter and the Half-Blood Prince,6,135,3,6.03,Will and Won’t,43,62
Harry Potter and the Half-Blood Prince,6,136,4,6.04,Horace Slughorn,63,89
Harry Potter and the Half-Blood Prince,6,137,5,6.05,An Excess of Phlegm,90,116
Harry Potter and the Half-Blood Prince,6,138,6,6.06,Draco’s Detour,117,143
Harry Potter and the Half-Blood Prince,6,139,7,6.07,Slug Club,144,172
Harry Potter and the Half-Blood Prince,6,140,8,6.08,Snape Victorious,173,190
Harry Potter and the Half-Blood Prince,6,141,9,6.09,The Half-Blood Prince,191,216
Harry Potter and the Half-Blood Prince,6,142,10,6.1,The House of Gaunt,217,242
Harry Potter and the Half-Blood Prince,6,143,11,6.11,Hermione’s Helping Hand,243,264
Harry Potter and the Half-Blood Prince,6,144,12,6.12,Silver and Opals,265,288
Harry Potter and the Half-Blood Prince,6,145,13,6.13,The Secret Riddle,289,312
Harry Potter and the Half-Blood Prince,6,146,14,6.14,Felix Felicis,313,339
Harry Potter and the Half-Blood Prince,6,147,15,6.15,Unbreakable Vow,340,365
Harry Potter and the Half-Blood Prince,6,148,16,6.16,A Very Frosty Christmas,366,392
Harry Potter and the Half-Blood Prince,6,149,17,6.17,A Sluggish Memory,393,419
Harry Potter and the Half-Blood Prince,6,150,18,6.18,Birthday Surprises,420,448
Harry Potter and the Half-Blood Prince,6,151,19,6.19,Elf Tails,449,475
Harry Potter and the Half-Blood Prince,6,152,20,6.2,Lord Voldemort’s Request,476,502
Harry Potter and the Half-Blood Prince,6,153,21,6.21,The Unknowable Room,503,526
Harry Potter and the Half-Blood Prince,6,154,22,6.22,After the Burial,527,552
Harry Potter and the Half-Blood Prince,6,155,23,6.23,Horcruxes,553,575
Harry Potter and the Half-Blood Prince,6,156,24,6.24,Sectumsempra,576,599
Harry Potter and the Half-Blood Prince,6,157,25,6.25,The Seer Overheard,600,623
Harry Potter and the Half-Blood Prince,6,158,26,6.26,The Cave,624,650
Harry Potter and the Half-Blood Prince,6,159,27,6.27,Lightning Struck Tower,651,670
Harry Potter and the Half-Blood Prince,6,160,28,6.28,Flight of the Prince,671,685
Harry Potter and the Half-Blood Prince,6,161,29,6.29,The Phoenix Lament,686,709
Harry Potter and the Half-Blood Prince,6,162,30,6.3,The White Tomb,710,730
Harry Potter and the Deathly Hallows,7,163,1,7.01,The Dark Lord Ascending,1,15
Harry Potter and the Deathly Hallows,7,164,2,7.02,In Memoriam,16,30
Harry Potter and the Deathly Hallows,7,165,3,7.03,The Dursleys Departing,31,45
Harry Potter and the Deathly Hallows,7,166,4,7.04,The Seven Potters,46,67
Harry Potter and the Deathly Hallows,7,167,5,7.05,Fallen Warrior,68,94
Harry Potter and the Deathly Hallows,7,168,6,7.06,The Ghoul in Pyjamas,95,122
Harry Potter and the Deathly Hallows,7,169,7,7.07,The Will of Albus Dumbledore,123,152
Harry Potter and the Deathly Hallows,7,170,8,7.08,The Wedding,153,179
Harry Potter and the Deathly Hallows,7,171,9,7.09,A Place to Hide,180,197
Harry Potter and the Deathly Hallows,7,172,10,7.1,Kreacher’s Tale,198,224
Harry Potter and the Deathly Hallows,7,173,11,7.11,The Bribe,225,249
Harry Potter and the Deathly Hallows,7,174,12,7.12,Magic is Might,250,276
Harry Potter and the Deathly Hallows,7,175,13,7.13,The Muggle-Born Registration Committee,277,301
Harry Potter and the Deathly Hallows,7,176,14,7.14,The Thief,302,319
Harry Potter and the Deathly Hallows,7,177,15,7.15,The Goblin’s Revenge,320,350
Harry Potter and the Deathly Hallows,7,178,16,7.16,Godric’s Hallow,351,371
Harry Potter and the Deathly Hallows,7,179,17,7.17,Bathilda’s Secret,372,394
Harry Potter and the Deathly Hallows,7,180,18,7.18,The Life and Lies of Albus Dumbledore,395,408
Harry Potter and the Deathly Hallows,7,181,19,7.19,The Silver Doe,409,436
Harry Potter and the Deathly Hallows,7,182,20,7.2,Xenophilius Lovegood,437,456
Harry Potter and the Deathly Hallows,7,183,21,7.21,The Tale of the Three Brothers,457,477
Harry Potter and the Deathly Hallows,7,184,22,7.22,The Deathly Hallows,478,502
Harry Potter and the Deathly Hallows,7,185,23,7.23,Malfoy Manor,503,538
Harry Potter and the Deathly Hallows,7,186,24,7.24,The Wandmaker,539,567
Harry Potter and the Deathly Hallows,7,187,25,7.25,Shell Cottage,568,586
Harry Potter and the Deathly Hallows,7,188,26,7.26,Gringotts,587,614
Harry Potter and the Deathly Hallows,7,189,27,7.27,The Final Hiding Place,615,625
Harry Potter and the Deathly Hallows,7,190,28,7.28,The Missing Mirror,626,644
Harry Potter and the Deathly Hallows,7,191,29,7.29,The Lost Diadem,645,664
Harry Potter and the Deathly Hallows,7,192,30,7.3,The Sacking of Severus Snape,665,686
Harry Potter and the Deathly Hallows,7,193,31,7.31,The Battle of Hogwarts,687,721
Harry Potter and the Deathly Hallows,7,194,32,7.32,The Elder Wand,722,744
Harry Potter and the Deathly Hallows,7,195,33,7.33,The Prince’s Tale,745,782
Harry Potter and the Deathly Hallows,7,196,34,7.34,The Forest Again,783,797
Harry Potter and the Deathly Hallows,7,197,35,7.35,King’s Cross,798,819
Harry Potter and the Deathly Hallows,7,198,36,7.36,The Flaw in the Plan,820,848
Harry Potter and the Deathly Hallows,7,199,37,7.37,Epilogue,849,856
